Plate,sample_well,Name,EGF1a,Ta54227,VRN1,VRN2,VRN3,VRN1_TA,VRN2_TA,VRN3_TA,Col,Row,Experiment,Plot.ID.Old,Plot.IDNew,SampleDate,Vern,Cult,Pp,TaNorm
GEP2,B1,AMK117,22.74,25.265,NaN,31.33,NaN,0,0.0149366455874022,0,1,B,3,117,300117,2014-03-11,None,Amarok,16,0.989761092150171
GEP2,B11,SCN144,23.42,25.38,27.635,32.95,32.145,0.209496783666987,0.00526263115963159,0.00919458388452159,11,B,3,144,300144,2014-05-16,Full,Saracen,16,0.989761092150171
GEP2,B12,BS129,23.2,25.39,28.25,NaN,31.635,0.137738139484576,0,0.0131846218145316,12,B,3,129,300129,2014-05-16,Full,Batten Spr,16,0.989761092150171
GEP2,B5,SCN292,25.95,26.75,30.615,31.185,NaN,0.0686308008616905,0.0462308596640262,0,5,B,3,292,300292,2014-03-25,None,Saracen,16,0.989761092150171
GEP2,B9,AMK86,25.355,26.725,NaN,32.16,NaN,0,0.0231154298320132,0,9,B,3,86,300086,2014-04-23,None,Amarok,16,0.989761092150171
GEP2,C1,BS161,25.41,26.54,26.92,NaN,28.545,0.768437590644005,0,0.249135065706967,1,C,3,161,300161,2014-03-11,None,Batten Spr,16,0.989761092150171
GEP2,C11,AMK91,24.02,25.6766666666667,28.42,33.01,32.145,0.149339391894502,0.00620078535925075,0.0112937363424969,11,C,3,91,300091,2014-05-16,Full,Amarok,16,0.989761092150171
GEP2,C12,SCN314,21.775,24.0766666666667,25.55,NaN,32.475,0.360149215457938,0,0.00296380586478982,12,C,3,314,300314,2014-05-16,Full,Saracen,16,0.989761092150171
GEP2,C5,AMK268,25.81,28.57,NaN,NaN,NaN,0,0,0,5,C,3,268,300268,2014-03-25,None,Amarok,16,0.989761092150171
GEP2,C7,SCN71,26.82,28.7633333333333,NaN,33.57,NaN,0,0.0357313277177159,0,7,C,3,71,300071,2014-04-09,None,Saracen,16,0.989761092150171
GEP2,C9,BW155,26.895,27.345,NaN,33.09,NaN,0,0.0186458709848706,0,9,C,3,155,300155,2014-04-23,None,Batten Win,16,0.989761092150171
GEP2,D1,CRWT125,23.425,26.13,NaN,32.055,NaN,0,0.0164587661867943,0,1,D,3,125,300125,2014-03-11,None,CRWT153,16,0.989761092150171
GEP2,D11,OT143,24.205,26.44,25.6066666666667,NaN,30.575,1.78179743628068,0,0.0569168645994987,11,D,3,143,300143,2014-05-16,Full,Otane,16,0.989761092150171
GEP2,D7,SCN131,27.42,29.3166666666667,30.57,NaN,NaN,0.419477887384125,0,0,7,D,3,131,300131,2014-04-09,None,Saracen,16,0.989761092150171
GEP2,D8,CRWT195,26.805,28.3,NaN,30.93,NaN,0,0.161544103829686,0,8,D,3,195,300195,2014-04-23,None,CRWT153,16,0.989761092150171
GEP2,D9,AMK153,26.17,28.655,NaN,31.4566666666667,NaN,0,0.143421511605849,0,9,D,3,153,300153,2014-04-23,None,Amarok,16,0.989761092150171
GEP2,E1,CRWT23,22.2533333333333,24.675,NaN,33.035,NaN,0,0.00304361163929884,0,1,E,3,23,300023,2014-03-11,None,CRWT153,16,0.989761092150171
GEP2,E11,BS46,26.555,27.585,29.72,NaN,31.235,0.227667458397995,0,0.079660039207454,11,E,3,46,300046,2014-05-16,Full,Batten Spr,16,0.989761092150171
GEP2,E12,AMK72,23.9,25.31,29.56,32.295,NaN,0.0525560259533572,0.00789415192567783,0,12,E,3,72,300072,2014-05-16,Full,Amarok,16,0.989761092150171
GEP2,E2,BS148,21.48,23.7633333333333,24.55,NaN,25.205,0.579681895437794,0,0.368141764525131,2,E,3,148,300148,2014-03-18,None,Batten Spr,16,0.989761092150171
GEP2,E3,BS270,21.645,23.725,24.26,NaN,25.355,0.690158676698315,0,0.323088207659374,3,E,3,270,300270,2014-03-18,None,Batten Spr,16,0.989761092150171
GEP2,E4,SCN34,24.965,26.76,31.565,NaN,NaN,0.0357726300187089,0,0,4,E,3,34,300034,2014-03-25,None,Saracen,16,0.989761092150171
GEP2,E7,BW214,28.68,28.77,NaN,NaN,NaN,0,0,0,7,E,3,214,300214,2014-04-09,None,Batten Win,16,0.989761092150171
GEP2,E8,BW288,28.765,28.795,NaN,33.44,NaN,0,0.0399682994149198,0,8,E,3,288,300288,2014-04-23,None,Batten Win,16,0.989761092150171
GEP2,E9,CRWT12,NaN,NaN,NaN,NaN,NaN,0,0,0,9,E,3,12,300012,2014-04-23,None,CRWT153,16,0.989761092150171
GEP2,F10,CRWT45,22.42,24.9766666666667,30.47,31.33,NaN,0.0221994334238903,0.0122308346296735,0,10,F,3,45,300045,2014-05-16,Full,CRWT153,16,0.989761092150171
GEP2,F11,CRWT308,23.14,25.3366666666667,27.6433333333333,32.7,NaN,0.202126913039965,0.00607317504183004,0,11,F,3,308,300308,2014-05-16,Full,CRWT153,16,0.989761092150171
GEP2,F12,BW25,22.8733333333333,24.97,28.3366666666667,NaN,32.165,0.0969465476146084,0,0.00682478824934917,12,F,3,25,300025,2014-05-16,Full,Batten Win,16,0.989761092150171
GEP2,F2,SCN170,24.21,26.4466666666667,32.35,NaN,NaN,0.0167078124778397,0,0,2,F,3,170,300170,2014-03-18,None,Saracen,16,0.989761092150171
GEP2,F3,BW206,25.695,26.81,NaN,NaN,NaN,0,0,0,3,F,3,206,300206,2014-03-18,None,Batten Win,16,0.989761092150171
GEP2,F5,BW33,22.56,24.3033333333333,33.04,31.845,NaN,0.0023442356770806,0.00536700643538317,0,5,F,3,33,300033,2014-04-01,None,Batten Win,16,0.989761092150171
GEP2,F7,BW279,30.78,31.95,NaN,NaN,NaN,0,0,0,7,F,3,279,300279,2014-04-09,None,Batten Win,16,0.989761092150171
GEP2,F9,OT150,26.74,27.44,NaN,NaN,NaN,0,0,0,9,F,3,156,300156,2014-04-23,None,Batten Win,16,0.989761092150171
GEP2,G1,BS264,21.65,23.655,24.43,NaN,25.405,0.584388624280623,0,0.29730177875068,1,G,3,264,300264,2014-03-11,None,Batten Spr,16,0.989761092150171
GEP2,G10,BS329,22.89,24.71,26.82,NaN,31.2,0.231647015472593,0,0.0111253921531021,10,G,3,329,300329,2014-05-16,Full,Batten Spr,16,0.989761092150171
GEP2,G11,AMK245,24.26,25.745,27.755,NaN,29.61,0.248273123859258,0,0.0686308008616905,11,G,3,245,300245,2014-05-16,Full,Amarok,16,0.989761092150171
GEP2,G12,OT49,25.405,26.45,27.94,NaN,32.055,0.356012548899268,0,0.0205459806282042,12,G,3,49,300049,2014-05-16,Full,Otane,16,0.989761092150171
GEP2,G2,AMK191,28.28,28.525,NaN,33.905,NaN,0,0.0240136747076252,0,2,G,3,191,300191,2014-03-18,None,Amarok,16,0.989761092150171
