Plate,Col,Row,Experiment,Plot.ID.Old,Plot.IDNew,SampleDate,Vern,Cult,Pp,sample_well
GEP3,3,E,2,NA,200021,NA,0d R3,Batten W,16,E3
GEP3,4,E,2,NA,200029,NA,0d R4,Batten W,16,E4
GEP3,5,E,2,NA,200037,NA,10 d R1,Aspiring,16,E5
GEP3,6,E,2,NA,200045,NA,10 d R1,CRWT153,16,E6
GEP3,7,E,2,NA,200053,NA,10 d R1,Consort,16,E7
GEP3,8,E,2,NA,200061,NA,10 d R1,Amarok,16,E8
GEP3,9,E,2,NA,200069,NA,24 d R1,CRWT153,16,E9
GEP3,1,F,2,NA,200006,NA,0d R1,Saracen,16,F1
GEP3,10,F,2,NA,200078,NA,24 d R2,Amarok,16,F10
GEP3,11,F,2,NA,200086,NA,24 d R2,Batten W,16,F11
GEP3,12,F,2,NA,200094,NA,24 d R2,Wakanui,16,F12
GEP3,2,F,2,NA,200014,NA,0d R2,Saracen,16,F2
GEP3,3,F,2,NA,200022,NA,0d R3,Saracen,16,F3
GEP3,4,F,2,NA,200030,NA,0d R4,Saracen,16,F4
GEP3,5,F,2,NA,200038,NA,10 d R2,Aspiring,16,F5
GEP3,6,F,2,NA,200046,NA,10 d R2,CRWT153,16,F6
GEP3,7,F,2,NA,200054,NA,10 d R2,Consort,16,F7
GEP3,8,F,2,NA,200062,NA,10 d R2,Amarok,16,F8
GEP3,9,F,2,NA,200070,NA,24 d R2,CRWT153,16,F9
GEP3,1,G,2,NA,200007,NA,0d R1,Amarok,16,G1
GEP3,10,G,2,NA,200079,NA,24 d R3,Amarok,16,G10
GEP3,11,G,2,NA,200087,NA,24 d R3,Batten W,16,G11
GEP3,12,G,2,NA,200095,NA,24 d R3,Wakanui,16,G12
GEP3,2,G,2,NA,200015,NA,0d R2,Amarok,16,G2
GEP3,3,G,2,NA,200023,NA,0d R3,Amarok,16,G3
GEP3,4,G,2,NA,200031,NA,0d R4,Amarok,16,G4
GEP3,5,G,2,NA,200039,NA,10 d R3,Aspiring,16,G5
GEP3,6,G,2,NA,200047,NA,10 d R3,CRWT153,16,G6
GEP3,7,G,2,NA,200055,NA,10 d R3,Consort,16,G7
GEP3,8,G,2,NA,200063,NA,10 d R3,Amarok,16,G8
GEP3,9,G,2,NA,200071,NA,24 d R3,CRWT153,16,G9
GEP3,1,H,2,NA,200008,NA,0d R1,CRWT153,16,H1
GEP3,10,H,2,NA,200080,NA,24 d R4,Amarok,16,H10
GEP3,11,H,2,NA,200088,NA,24 d R4,Batten W,16,H11
GEP3,12,H,2,NA,200096,NA,24 d R4,Wakanui,16,H12
GEP3,2,H,2,NA,200016,NA,0d R2,CRWT153,16,H2
GEP3,3,H,2,NA,200024,NA,0d R3,CRWT153,16,H3
GEP3,4,H,2,NA,200032,NA,0d R4,CRWT153,16,H4
GEP3,5,H,2,NA,200040,NA,10 d R4,Aspiring,16,H5
GEP3,6,H,2,NA,200048,NA,10 d R4,CRWT153,16,H6
GEP3,7,H,2,NA,200056,NA,10 d R4,Consort,16,H7
GEP3,8,H,2,NA,200064,NA,10 d R4,Amarok,16,H8
GEP3,9,H,2,NA,200072,NA,24 d R4,CRWT153,16,H9
GEP4,1,A,2,NA,200097,NA,52-1,Macro,16,A1
GEP4,10,A,2,NA,200169,NA,96-1,CRWT 153,16,A10
GEP4,11,A,2,NA,200177,NA,96-1,Macro,16,A11
GEP4,12,A,2,NA,NA,NA,NA,NA,NA,A12
GEP4,2,A,2,NA,200105,NA,52-1,Batten W,16,A2
GEP4,3,A,2,NA,200113,NA,52-1,Aspiring,16,A3
GEP4,4,A,2,NA,200121,NA,52-1,Consort,16,A4
GEP4,5,A,2,NA,200129,NA,72-1,Consort,16,A5
GEP4,6,A,2,NA,200137,NA,72-1,Batten W,16,A6
GEP4,7,A,2,NA,200145,NA,72-1,Amarok,16,A7
GEP4,8,A,2,NA,200153,NA,72-1,Aspiring,16,A8
GEP4,9,A,2,NA,200161,NA,96-1,Seracen,16,A9
GEP4,1,B,2,NA,200098,NA,52-2,Macro,16,B1
GEP4,10,B,2,NA,200170,NA,96-2,CRWT 153,16,B10
GEP4,11,B,2,NA,200178,NA,96-2,Macro,16,B11
GEP4,12,B,2,NA,NA,NA,NA,NA,NA,B12
GEP4,2,B,2,NA,200106,NA,52-2,Batten W,16,B2
GEP4,3,B,2,NA,200114,NA,52-2,Aspiring,16,B3
GEP4,4,B,2,NA,200122,NA,52-2,Consort,16,B4
GEP4,5,B,2,NA,200130,NA,72-2,Consort,16,B5
GEP4,6,B,2,NA,200138,NA,72-2,Batten W,16,B6
GEP4,7,B,2,NA,200146,NA,72-2,Amarok,16,B7
GEP4,8,B,2,NA,200154,NA,72-2,Aspiring,16,B8
