Plate,Name,sample_well,EGF1a,Ta54227,VRN1,VRN2,VRN3,Col,Row,Experiment,Plot_ID_Old,Plot_IDNew,SampleDate,Vern,Cult,Pp,is_repeat,VRN1_EGF,VRN1_Ta,VRN2_EGF,VRN2_Ta,VRN3_EGF,VRN3_Ta
GEP2,AMK72,E12,23.9,25.31,29.56,32.295,NA,12,E,3,72,300072,2014-05-16T00:00:00Z,full,Amarok,16,FALSE,0.0197774467807856,0.0525560259533572,0.00297066162742384,0.00789415192567783,0,0
GEP2,AMK86,B9,25.355,26.725,NA,32.16,NA,9,B,3,86,300086,2014-04-23T00:00:00Z,none,Amarok,16,FALSE,0,0,0.00894315750467725,0.0231154298320132,0,0
GEP2,AMK91,C11,24.02,25.6766666666667,28.42,33.01,32.145,11,C,3,91,300091,2014-05-16T00:00:00Z,full,Amarok,16,FALSE,0.0473661427034499,0.149339391894502,0.00196671005870452,0.00620078535925075,0.00358204704376824,0.0112937363424969
GEP2,BS129,B12,23.2,25.39,28.25,NA,31.635,12,B,3,129,300129,2014-05-16T00:00:00Z,full,Batten Spr,16,FALSE,0.0301855102789014,0.137738139484576,0,0,0.00288942872900164,0.0131846218145316
GEP2,BS148,E2,21.48,23.7633333333333,24.55,NA,25.205,2,E,3,148,300148,2014-03-18T00:00:00Z,none,Batten Spr,16,FALSE,0.119079749755492,0.579681895437794,0,0,0.0756246305762059,0.368141764525131
GEP2,BS161,C1,25.41,26.54,26.92,NA,28.545,1,C,3,161,300161,2014-03-11T00:00:00Z,none,Batten Spr,16,FALSE,0.351111218934499,0.768437590644005,0,0,0.113833729198997,0.249135065706967
GEP2,BS264,G1,21.65,23.655,24.43,NA,25.405,1,G,3,264,300264,2014-03-11T00:00:00Z,none,Batten Spr,16,FALSE,0.145591698308557,0.584388624280623,0,0,0.0740682981838489,0.29730177875068
GEP2,BS270,E3,21.645,23.725,24.26,NA,25.355,3,E,3,270,300270,2014-03-18T00:00:00Z,none,Batten Spr,16,FALSE,0.163232473386115,0.690158676698315,0,0,0.0764150173557546,0.323088207659374
GEP2,BS329,G10,22.89,24.71,26.82,NA,31.2,10,G,3,329,300329,2014-05-16T00:00:00Z,full,Batten Spr,16,FALSE,0.0656072927264417,0.231647015472593,0,0,0.00315094437196143,0.0111253921531021
GEP2,BS46,E11,26.555,27.585,29.72,NA,31.235,11,E,3,46,300046,2014-05-16T00:00:00Z,full,Batten Spr,16,FALSE,0.111491064927512,0.227667458397995,0,0,0.0390103296531754,0.079660039207454
GEP2,BS81,G3,21.595,23.83,24.4433333333333,NA,24.85,3,G,3,81,300081,2014-03-25T00:00:00Z,none,Batten Spr,16,FALSE,0.138856504710352,0.653684623601051,0,0,0.104748391833493,0.493116352246678
GEP2,BW115,A11,24.185,26.5,28.92,NA,NA,11,A,3,115,300115,2014-05-16T00:00:00Z,full,Batten Win,16,FALSE,0.037551126547714,0.186856156079367,0,0,0,0
GEP2,BW155,C9,26.895,27.345,NA,33.09,NA,9,C,3,155,300155,2014-04-23T00:00:00Z,none,Batten Win,16,FALSE,0,0,0.0136495764986983,0.0186458709848706,0,0
GEP2,BW174,A10,27.665,28.435,NA,NA,NA,10,A,3,174,300174,2014-04-23T00:00:00Z,none,Batten Win,16,FALSE,0,0,0,0,0,0
GEP2,BW214,E7,28.68,28.77,NA,NA,NA,7,E,3,214,300214,2014-04-09T00:00:00Z,none,Batten Win,16,FALSE,0,0,0,0,0,0
GEP2,BW218,A12,24.085,25.9,28.845,33.425,32.215,12,A,3,218,300218,2014-05-16T00:00:00Z,full,Batten Win,16,FALSE,0.0369060206696729,0.129857387912208,0.00154304943723316,0.00542936804625913,0.00356965410245859,0.0125601717303617
GEP2,BW25,F12,22.8733333333333,24.97,28.3366666666667,NA,32.165,12,F,3,25,300025,2014-05-16T00:00:00Z,full,Batten Win,16,FALSE,0.0226658907096215,0.0969465476146084,0,0,0.00159562055980576,0.00682478824934917
GEP2,BW279,F7,30.78,31.95,NA,NA,NA,7,F,3,279,300279,2014-04-09T00:00:00Z,none,Batten Win,16,FALSE,NA,NA,NA,NA,NA,NA
GEP2,BW288,E8,28.765,28.795,NA,33.44,NA,8,E,3,288,300288,2014-04-23T00:00:00Z,none,Batten Win,16,FALSE,0,0,0.0391457637070041,0.0399682994149198,0,0
GEP2,BW317,A1,24.61,26.605,NA,32.63,NA,1,A,3,317,300317,2014-03-11T00:00:00Z,none,Batten Win,16,FALSE,0,0,0.00385247150192719,0.0153565718522696,0,0
GEP2,BW33,A7,NA,26.72,NA,NA,NA,7,A,3,33,300033,2014-04-09T00:00:00Z,none,Batten Win,16,FALSE,NA,NA,NA,NA,NA,NA
GEP2,BW33,F5,22.56,24.3033333333333,33.04,31.845,NA,5,F,3,33,300033,2014-04-01T00:00:00Z,none,Batten Win,16,FALSE,0.00070017346094523,0.0023442356770806,0.00160301095470801,0.00536700643538317,0,0
GEP2,BW92,H9,26.335,27.225,NA,NA,NA,9,H,3,92,300092,2014-04-23T00:00:00Z,none,Batten Win,16,FALSE,0,0,0,0,0,0
GEP2,CRWT12,A9,25.7,27.415,NA,NA,NA,9,A,3,12,300012,2014-04-23T00:00:00Z,none,CRWT153,16,FALSE,0,0,0,0,0,0
GEP2,CRWT125,D1,23.425,26.13,NA,32.055,NA,1,D,3,125,300125,2014-03-11T00:00:00Z,none,CRWT153,16,FALSE,0,0,0.00252412662233885,0.0164587661867943,0,0
GEP2,CRWT151,G5,29.59,30.795,NA,NA,NA,5,G,3,151,300151,2014-04-01T00:00:00Z,none,CRWT153,16,FALSE,NA,NA,NA,NA,NA,NA
GEP2,CRWT195,D8,26.805,28.3,NA,30.93,NA,8,D,3,195,300195,2014-04-23T00:00:00Z,none,CRWT153,16,FALSE,0,0,0.057312752700292,0.161544103829686,0,0
GEP2,CRWT23,E1,22.2533333333333,24.675,NA,33.035,NA,1,E,3,23,300023,2014-03-11T00:00:00Z,none,CRWT153,16,FALSE,0,0,0.000568060942572528,0.00304361163929884,0,0
GEP2,CRWT27,G9,26.62,27.425,NA,33.665,NA,9,G,3,27,300027,2014-04-23T00:00:00Z,none,CRWT153,16,FALSE,0,0,0.00757257669480515,0.0132303955056644,0,0
GEP2,CRWT271,H7,32.6,NA,NA,NA,NA,7,H,3,271,300271,2014-04-09T00:00:00Z,none,CRWT153,16,FALSE,NA,NA,NA,NA,NA,NA
GEP2,CRWT308,F11,23.14,25.3366666666667,27.6433333333333,32.7,NA,11,F,3,308,300308,2014-05-16T00:00:00Z,full,CRWT153,16,FALSE,0.044092181472439,0.202126913039965,0.00132480891352312,0.00607317504183004,0,0
GEP2,CRWT42,H6,31.405,NA,NA,NA,NA,6,H,3,42,300042,2014-04-09T00:00:00Z,none,CRWT153,16,FALSE,NA,NA,NA,NA,NA,NA
GEP2,CRWT45,F10,22.42,24.9766666666667,30.47,31.33,NA,10,F,3,45,300045,2014-05-16T00:00:00Z,full,CRWT153,16,FALSE,0.00377318878486268,0.0221994334238903,0.00207884801260422,0.0122308346296735,0,0
GEP2,OT143,D11,24.205,26.44,25.6066666666667,NA,30.575,11,D,3,143,300143,2014-05-16T00:00:00Z,full,Otane,16,FALSE,0.378491638277849,1.78179743628068,0,0,0.0120903515120499,0.0569168645994987
GEP2,OT150,F9,26.74,27.44,NA,NA,NA,9,F,3,150,300150,2014-04-23T00:00:00Z,none,Otane,16,FALSE,0,0,0,0,0,0
GEP2,OT210,H10,21.8433333333333,23.66,24.845,NA,26.87,10,H,3,210,300210,2014-05-16T00:00:00Z,full,Otane,16,FALSE,0.124855677717254,0.439824537961218,0,0,0.0306776829764611,0.108067153913483
GEP2,OT49,G12,25.405,26.45,27.94,NA,32.055,12,G,3,49,300049,2014-05-16T00:00:00Z,full,Otane,16,FALSE,0.172539669174579,0.356012548899268,0,0,0.00995750490093174,0.0205459806282042
