"","Well","Sample_label","Sample_date","Ta","TaVRN2","VRN1","VRN3-3","deltaCT_VRN1","deltaCT_VRN2","deltaCT_VRN3"
"74","C1","BS",7,25.1162815093994,30.7077121734619,27.220006942749,32.3306770324707,2.10372543334961,5.5914306640625,4.21439552307129
"75","C1","BW",4,25.4461765289307,29.9594821929932,NA,NA,NA,4.5133056640625,NA
"76","C1","BW",10,25.2940578460693,30.5131721496582,NA,NA,NA,5.21911430358887,NA
"77","C2","BS",1,27.0726566314697,33.8076095581055,28.195182800293,31.89430809021,1.12252616882324,6.73495292663574,1.82165145874023
"78","C2","BS",7,25.1058406829834,NA,27.2102851867676,32.3791961669922,2.10444450378418,NA,4.27335548400879
"79","C2","BW",4,25.4347152709961,NA,NA,NA,NA,NA,NA
"80","C2","BW",10,25.3547649383545,30.4107837677002,NA,NA,NA,5.0560188293457,NA
"81","C3","BS",1,27.2355632781982,NA,28.4083290100098,31.9166259765625,1.17276573181152,NA,1.68106269836426
"82","C3","BS",7,25.2164649963379,31.1138172149658,27.2099075317383,32.0875205993652,1.99344253540039,5.89735221862793,3.87105560302734
"83","C3","BW",4,25.5632438659668,29.9088363647461,NA,NA,NA,4.3455924987793,NA
"84","C3","BW",10,25.3849143981934,30.3648624420166,NA,NA,NA,4.97994804382324,NA
"85","C4","BS",11,26.0447044372559,NA,29.0060348510742,28.9807662963867,2.96133041381836,NA,-0.0639381408691406
"86","C4","BW",2,25.033296585083,30.94753074646,NA,NA,NA,5.91423416137695,NA
"87","C4","BW",5,25.9425849914551,NA,NA,NA,NA,NA,NA
"88","C4","BW",8,25.3855419158936,30.9510364532471,NA,NA,NA,5.56549453735352,NA
"89","C5","BS",11,26.1688556671143,NA,28.8117141723633,28.795015335083,2.64285850524902,NA,-0.37384033203125
"90","C5","BW",2,25.0984878540039,31.1887187957764,33.7047271728516,NA,8.60623931884766,6.09023094177246,NA
"91","C5","BW",5,25.775032043457,30.3525791168213,NA,NA,NA,4.57754707336426,NA
"92","C5","BW",8,25.4192562103271,31.0065212249756,NA,NA,NA,5.58726501464844,NA
"93","C6","BS",11,26.0392227172852,NA,28.460823059082,29.0256633758545,2.42160034179688,NA,-0.0135593414306641
"94","C6","BW",2,25.0275554656982,NA,33.6447792053223,NA,8.61722373962402,NA,NA
"95","C6","BW",5,25.8073902130127,30.3056621551514,NA,NA,NA,4.49827194213867,NA
"96","C6","BW",8,25.4505043029785,30.9037322998047,NA,NA,NA,5.45322799682617,NA
"97","C7","BS",9,25.3073387145996,31.77956199646,28.2981586456299,32.6234664916992,2.99081993103027,6.47222328186035,4.31612777709961
"98","C7","BS",12,29.6494102478027,NA,31.6267948150635,NA,1.97738456726074,NA,NA
"99","C7","BW",3,25.4903545379639,30.0343589782715,NA,NA,NA,4.54400444030762,NA
