"plate","Pot","Genotype","Time","EGF1a_mean","Ta54227_mean","VRN1_mean","VRN2_mean","VRN3_mean","EdeltaCT_VRN1","EdeltaCT_VRN2","EdeltaCT_VRN3","TdeltaCT_VRN1","TdeltaCT_VRN2","TdeltaCT_VRN3"
"1","144","BW",1,26.4494600296021,27.0206419626872,34.9908409118652,32.0548667907715,35.3346214294434,0.00268403484725145,0.0205401886009014,0.00211494901507899,0.00398777865921334,0.0305173853621051,0.0031422649211477
"1","150","BW",1,25.9558766682943,27.2172679901123,33.8367290496826,32.7033805847168,NA,0.00424255070788248,0.00930676880110556,NA,0.0101705318912213,0.0223108208748108,NA
"1","7","BW",2,25.1133689880372,25.921635945638,NA,31.0654754638672,NA,NA,0.0161524131065316,NA,NA,0.0282845980977157,NA
"1","51","BW",2,24.247802734375,25.053113301595,33.6747531890869,30.9628381729126,36.9431228637695,0.00145279770625632,0.00951859636612425,0.000150774479017715,0.0025387958635715,0.0166339559714718,0.000263481709816787
"1","124","BW",2,25.915293375651,26.1932322184245,NA,31.0380045572917,NA,NA,0.0287018754294654,NA,NA,0.0347999166562259,NA
"1","158","BW",2,24.4078989028931,25.4041697184245,35.8916435241699,30.1211395263672,NA,0.000349179232817172,0.0190608910898276,NA,0.000696555628260511,0.03802336943455,NA
"1","29","BW",3,24.9469273885091,26.1551100413004,35.9351005554199,30.72966893514,NA,0.000492300502663886,0.0181644117242827,NA,0.0011374426218229,0.0419682205964453,NA
"1","87","BW",3,23.7317457199096,25.571294148763,NA,29.8504174550374,NA,NA,0.0143911756550053,NA,NA,0.051505727957965,NA
"1","115","BW",3,23.9469286600749,25.5338268280029,35.8012428283692,31.4382025400798,NA,0.000270082134540262,0.00555778645981791,NA,0.000811334242672182,0.0166957450776436,NA
"1","155","BW",3,25.3245630264282,26.7214743296305,33.3205394744873,31.8840783437093,36.2839164733887,0.00391715939969273,0.010602032531262,0.000502233733264183,0.0103153376461121,0.0279190949706082,0.00132256822030112
"2","13","BW",4,23.2237377166749,25.5250123341878,35.0227508544922,30.6016893386841,NA,0.00028063583502814,0.00601194854945236,NA,0.00138323450649925,0.0296324761378629,NA
"2","83","BW",4,23.8153409957885,25.4813785552979,35.9336395263672,29.9341592788697,NA,0.000224920295744343,0.0143897138836907,NA,0.000713766112674561,0.0456645768994345,NA
"2","107","BW",4,25.0009447733561,26.6152388254801,NA,30.6043688456217,NA,NA,0.0205684362898742,NA,NA,0.0629726844767133,NA
"2","152","BW",4,25.1358839670817,26.728972752889,30.2343006134033,30.6423505147298,NA,0.0291892985843575,0.0219982634605652,NA,0.088062532219393,0.066367568894063,NA
"2","4","BW",5,24.0015252431234,25.839724222819,33.8878116607666,29.8426462809245,NA,0.00105665020727103,0.0174440514658139,NA,0.00377819416921509,0.062373539589645,NA
"2","61","BW",5,23.9582354227702,25.8416690826416,36.3152694702148,30.3291206359863,NA,0.00019061720369856,0.0120829353528019,NA,0.000703286240557052,0.0445802478175275,NA
"2","138","BW",5,24.3685080210368,26.1911811828613,NA,30.973669052124,NA,NA,0.0102718437249529,NA,NA,0.0363352119162187,NA
"2","166","BW",5,24.1334260304769,26.0400244394938,NA,30.0294024149577,NA,NA,0.0167932307125244,NA,NA,0.0629618623208958,NA
"2","38","BW",6,23.7479394276937,25.5925092697143,36.151008605957,29.5509376525878,NA,0.000184630794714489,0.0179111499400435,NA,0.000663093835671221,0.0643271515642442,NA
"2","74","BW",6,23.6350142161051,25.4289836883545,35.059700012207,29.7892723083496,NA,0.000363770003572562,0.0140405368339731,NA,0.00126143682973906,0.048688044912281,NA
"2","131","BW",6,24.2914969126383,25.9901342391968,NA,30.8697481155396,NA,NA,0.0104652370221472,NA,NA,0.0339695548668808,NA
"2","176","BW",6,24.1397825876872,25.9271195729574,36.0299053192139,29.9381605784098,NA,0.000263461042327057,0.017968602385425,NA,0.000909407330479666,0.0620235105101221,NA
"3","26","BW",7,23.7033424377441,25.2873821258545,36.2424354553223,30.0215320587158,NA,0.000168018414926009,0.0125324334125848,NA,0.000503732931475499,0.0375732590039189,NA
"3","79","BW",7,23.3592287699381,24.9183718363444,35.8018474578857,29.0086727142334,NA,0.000179638140270604,0.0199226870925311,NA,0.000529355440375257,0.0587079268547242,NA
"3","120","BW",7,23.7624654769897,25.4433135986328,NA,29.2117214202881,NA,NA,0.0228881403035859,NA,NA,0.0733831262948864,NA
"3","147","BW",7,23.1049213409424,25.3126653035482,35.0964756011963,29.8727588653565,NA,0.000245574050210257,0.00917651754668082,NA,0.00113443502994874,0.0423911359892504,NA
"3","32","BW",8,23.1173044840495,24.9225037892659,35.859920501709,29.9408499399821,NA,0.000145911779980026,0.00882893137121684,NA,0.000509928745435575,0.0308551228576451,NA
"3","75","BW",8,24.1490840911865,25.4184341430664,NA,30.9537633260091,NA,NA,0.00894514612482938,NA,NA,0.0215625381131026,NA
"3","116","BW",8,23.8312425613403,25.301752726237,35.8877601623535,30.9809846878051,NA,0.000234761328689131,0.00704227789378502,NA,0.000650570291806283,0.0195155514322694,NA
"3","165","BW",8,23.7264175415039,25.4672431945801,35.5036964416504,30.3141644795736,NA,0.000284895627432722,0.0103965816291963,NA,0.000952196372291872,0.0347481195157859,NA
"3","24","BW",9,23.9848162333171,25.0751260121663,NA,31.7674198150634,NA,NA,0.00454153721737609,NA,NA,0.00966982969887487,NA
"3","91","BW",9,22.8951810201009,25.0746930440267,NA,30.2592678070068,NA,NA,0.00607000412862199,NA,NA,0.0274971372600768,NA
"3","127","BW",9,22.8741353352865,24.7558472951253,35.9412498474121,30.1518211364746,NA,0.000116521636387983,0.00644463424693718,NA,0.000429396320046605,0.02374925649402,NA
"3","178","BW",9,23.9548174540202,25.1600685119629,NA,30.9396553039551,NA,NA,0.00789503922975078,NA,NA,0.0182041754720574,NA
"4","35","BW",10,24.1787598927816,25.9897219340006,35.7266693115234,31.3797264099121,NA,0.000333989549311863,0.00679662143097884,NA,0.00117188979714229,0.0238477261531484,NA
"4","57","BW",10,23.4354963302613,25.3445790608724,NA,30.4296061197917,NA,NA,0.0078444619429049,NA,NA,0.0294614641685326,NA
"4","112","BW",10,23.7152280807495,25.6729100545248,NA,31.9744100570679,NA,NA,0.00326391233426188,NA,NA,0.0126782549705686,NA
"4","168","BW",10,24.4161787033081,25.9283911387126,35.8204078674316,31.8931922912598,NA,0.000368964807326227,0.00561299469866418,NA,0.00105246157060525,0.0160109069999509,NA
"4","11","BW",11,24.4757108688354,26.2845687866211,NA,32.5428657531738,NA,NA,0.00372858802257541,NA,NA,0.0130636606779947,NA
"4","52","BW",11,24.2620321909587,26.4198290506999,NA,33.5095958709717,NA,NA,0.00164515168078818,NA,NA,0.00734120792615933,NA
"4","103","BW",11,23.9850641886393,25.981876373291,36.0230102539062,31.4237337112426,NA,0.000237802900900685,0.00576417750012801,NA,0.000949112102862223,0.0230058195576951,NA
"4","190","BW",11,24.6043510437012,26.4253972371419,32.513858795166,32.3681468963623,33.698600769043,0.00415911487597994,0.00460113067988908,0.00182960797492723,0.0146957056152824,0.0162575124720888,0.00646468803883868
"4","22","BW",12,25.2592792510987,27.2697499593099,NA,33.9534072875976,NA,NA,0.00241438583722965,NA,NA,0.00972789027682246,NA
"4","90","BW",12,24.5288251241048,27.0214042663574,34.380313873291,33.7480341593424,NA,0.00108244636050009,0.00167780523102676,NA,0.00609182575854556,0.00944240518252493,NA
"4","130","BW",12,25.3880863189697,27.2617467244466,35.9446296691895,33.8655090332032,NA,0.000663993458851467,0.00280570158238173,NA,0.0024332783095128,0.0102818073165724,NA
"4","157","BW",12,24.1708831787109,26.8775253295898,NA,32.2305946350098,NA,NA,0.00374787497834658,NA,NA,0.0244661464040918,NA
"1","18","OTE",1,23.7651271820069,25.2812814712524,25.3082834879557,35.2391681671143,27.6476955413818,0.343133929630906,0.000351535745239776,0.0678001201690818,0.981457691900125,0.00100548920217404,0.193927046279788
"1","62","OTE",1,24.7935040791829,25.459677696228,25.6973444620768,35.0099093119304,28.4178504943848,0.53446212423359,0.000840534564238184,0.0810891997231672,0.848115840072237,0.00133380953623396,0.12867709726413
"1","119","OTE",1,25.2611846923828,25.6139755249024,25.8111896514893,35.1720542907715,27.7156486511231,0.683017780574218,0.00103879767221311,0.182445318997482,0.872233238224339,0.00132657433417414,0.232987889794406
"1","169","OTE",1,25.8368275960287,26.3281984329223,26.1614151000976,35.8258590698242,27.0864537556966,0.798526668777616,0.000984015407913506,0.420557170962594,1.12255282191435,0.00138330918196063,0.591210860575343
"1","15","OTE",2,22.001724243164,23.8919747670491,24.6590938568115,31.4286886850993,27.4928620656331,0.158508310413972,0.00145278362115389,0.0222332425107556,0.587589658601252,0.00538546294352566,0.0824185390808518
"1","66","OTE",2,23.5814889272054,24.7097085316976,25.160535812378,32.1921170552572,26.6016928354899,0.334702936782989,0.00255824805109563,0.123261665217426,0.73162319497188,0.00559204418898392,0.269436217652307
"1","140","OTE",2,25.1021512349447,25.6021639506022,25.5680777231852,33.5775089263916,26.0862471262614,0.724005976589844,0.00280972044018738,0.505542437522958,1.02390809583664,0.00397357977526107,0.714951272925728
"1","183","OTE",2,24.5844821929932,25.3116633097331,25.0529677073161,35.4329083760579,25.6626828511556,0.722722886325203,0.000542373314052566,0.473619157095018,1.19639650611624,0.00089784556462931,0.784029834255489
"1","40","OTE",3,23.4421501159668,24.5709864298502,25.2156969706217,31.0050589243571,27.0937487284343,0.29248877126198,0.00528856192779036,0.0795718188974353,0.639621109968543,0.011565147734717,0.17400946677644
"1","58","OTE",3,23.2837022145589,24.7112089792887,25.122194925944,33.4147357940674,26.1193879445394,0.279613764835977,0.000891774409253398,0.140079162648319,0.752109201981702,0.00239870787364392,0.376786984344258
"1","97","OTE",3,24.242880821228,25.4738731384277,25.7895647684733,34.3195896148682,27.1578750610352,0.342295932197933,0.000925994475206769,0.132586497042967,0.803465715797934,0.00217357188287215,0.311218144100431
"1","191","OTE",3,24.1808528900146,25.6722634633382,25.9136797587077,33.3387126922607,28.4541848500569,0.300861859404588,0.0017506910174181,0.0517129006438656,0.845914469408704,0.00492230841765259,0.145397927794212
"2","27","OTE",4,23.2578849792481,24.8064966201782,25.2644646962484,34.7701568603515,26.1493352254232,0.248862417992028,0.000342342521846744,0.134767988078895,0.728010883733011,0.00100147335977833,0.394244188784579
"2","53","OTE",4,23.7846984863281,25.1052551269531,25.4404239654541,34.4316329956055,25.6657568613688,0.317378107535356,0.000623667841435189,0.271484478918988,0.792691362566323,0.00155768813058722,0.678066307664043
"2","125","OTE",4,24.9354629516601,26.0944652557373,26.0478528340657,33.9217376708985,25.9837557474772,0.462527201052386,0.00197179499645775,0.483540020113219,1.0328368799949,0.00440307637582662,1.07975912463112
"2","146","OTE",4,23.7826747894287,24.9893798828125,25.1543108622233,33.1874942779541,24.1667722066243,0.386452747212235,0.00147525545825864,0.76625823718749,0.891971191573789,0.00340503561812184,1.76859985550057
"2","12","OTE",5,23.2002480824788,24.4623603820801,25.0321935017904,34.5919971466064,26.2519709269206,0.280885602147489,0.000372170399481966,0.120597938868808,0.673694711946435,0.000892638241893006,0.289250118433961
"2","94","OTE",5,23.4009552001953,24.6922747294108,25.4899164835612,33.6882572174073,25.9399890899658,0.235049858417214,0.000800227585563648,0.172057908408056,0.575288782982817,0.00195857150014124,0.42111484515317
"2","129","OTE",5,24.9850737253825,25.8379516601562,26.1613642374675,35.8278942108154,24.9706548055013,0.442487770603132,0.000544484845031221,1.01004454481954,0.79917725151685,0.000983394188163693,1.82424165562409
"2","181","OTE",5,25.4732882181803,25.9824848175049,26.2273680369059,34.41037940979,25.4178377787272,0.592924444586289,0.00204017526240771,1.03918350739657,0.843884102528581,0.00290369453652604,1.47902561533577
